"toSayNothing" pushed new code on "Sun, 9 Jan 2022 00:11:59 +0800" with title: "fix: #2851 #2805 fix toc update when modifying headers (#2857)" and stats:	 1 file changed, 1 insertion(+), 1 deletion(-)	
"Tarcisio Gruppi" pushed new code on "Sat, 8 Jan 2022 13:00:28 -0300" with title: "added option to use a command line script as image uploader (#2100)" and stats:	 4 files changed, 103 insertions(+), 10 deletions(-)	
"Ran Luo" pushed new code on "Thu, 6 Jan 2022 23:12:47 +0800" with title: "fix: search group (#2842)" and stats:	 2 files changed, 19 insertions(+), 13 deletions(-)	
"DesktopFolder" pushed new code on "Tue, 4 Jan 2022 13:05:10 -0800" with title: "Do not use Cmd+Tab as a keybind on macOS. (#2841)" and stats:	 2 files changed, 4 insertions(+), 4 deletions(-)	
"Felix Häusler" pushed new code on "Mon, 3 Jan 2022 17:52:32 +0100" with title: "Invalidate CI cache and use async path exists (#2845)" and stats:	 4 files changed, 11 insertions(+), 8 deletions(-)	
"Ran Luo" pushed new code on "Tue, 4 Jan 2022 00:26:44 +0800" with title: "feat: optimization of auto complement of markdown syntax (#2843)" and stats:	 1 file changed, 3 insertions(+), 4 deletions(-)	
"Felix Häusler" pushed new code on "Mon, 3 Jan 2022 17:06:47 +0100" with title: "Fix markdown footnote parser (#2840)" and stats:	 3 files changed, 512 insertions(+), 2 deletions(-)	
"Sukka" pushed new code on "Mon, 3 Jan 2022 22:35:44 +0800" with title: "Remove unnecessary fs-extra usage (#2690)" and stats:	 11 files changed, 22 insertions(+), 20 deletions(-)	
"Martin Wittmann" pushed new code on "Mon, 3 Jan 2022 14:42:23 +0100" with title: "Issue 2566: Do not complete markdown syntax if the previous character is alphanumeric. (#2607)" and stats:	 1 file changed, 3 insertions(+)	
"ihipi" pushed new code on "Mon, 3 Jan 2022 09:47:19 +0100" with title: "Added Regex group replace on SearchMenu (#2205)" and stats:	 1 file changed, 18 insertions(+), 2 deletions(-)	
"Christoph Singewald" pushed new code on "Sun, 2 Jan 2022 21:13:37 +0100" with title: "fix: #2720 Alt gr problem on other keyboard layouts (#2769)" and stats:	 1 file changed, 11 insertions(+), 10 deletions(-)	
"Felix Häusler" pushed new code on "Sun, 2 Jan 2022 20:59:48 +0100" with title: "Normalize Codemirror cursor that start is always before end (#2834)" and stats:	 3 files changed, 15 insertions(+), 5 deletions(-)	
"Felix Häusler" pushed new code on "Sun, 2 Jan 2022 20:58:14 +0100" with title: "Fix preference scaling and improve UX (#2815)" and stats:	 12 files changed, 492 insertions(+), 356 deletions(-)	
"Ran Luo" pushed new code on "Sun, 2 Jan 2022 22:15:06 +0800" with title: "fix: update file icons (#2838)" and stats:	 3 files changed, 19 insertions(+), 14 deletions(-)	
"Felix Häusler" pushed new code on "Sun, 2 Jan 2022 11:48:38 +0100" with title: "Update build tools (#2814)" and stats:	 47 files changed, 2267 insertions(+), 3727 deletions(-)	
"Felix Häusler" pushed new code on "Sun, 2 Jan 2022 09:57:19 +0100" with title: "Fix 'partialRender' cursor if the block was already removed from the state (#2835)" and stats:	 2 files changed, 18 insertions(+), 4 deletions(-)	
"Ran Luo" pushed new code on "Sat, 1 Jan 2022 10:41:33 +0800" with title: "fix: update file icons (#2817)" and stats:	 4 files changed, 13 insertions(+), 11 deletions(-)	
"ianegordon" pushed new code on "Fri, 31 Dec 2021 21:08:10 -0500" with title: "Update MARKDOWN_SYNTAX.md (#2832)" and stats:	 1 file changed, 1 insertion(+), 1 deletion(-)	
"Kiyoka Nishiyama" pushed new code on "Thu, 30 Dec 2021 11:11:46 +0000" with title: "fix: feature request 2106 (Always use forward slashes on Windows) (#2824)" and stats:	 1 file changed, 6 insertions(+), 1 deletion(-)	
